step	Loss
0	2.58493298494034
1	2.165777959827233
2	1.9263529110837148
3	1.7545333095149913
4	1.6125443060339522
5	1.4912734949049056
6	1.391088752195503
7	1.3136204417095643
8	1.2576912173041201
9	1.218629793718615
10	1.1903450214780422
11	1.1677789520730686
12	1.1478059135993468
13	1.1288320578264335
14	1.1101263694671402
15	1.091367448984041
16	1.0724162424736552
17	1.0532157494977064
18	1.0337483052322889
19	1.0140170833005304
20	0.9940377224138723
21	0.9738342643182047
22	0.9534369547350986
23	0.9328808470245143
24	0.912204744817983
25	0.8914502851582702
26	0.8706610836440322
27	0.8498819172661762
28	0.829157944496448
29	0.808533971857769
30	0.7880537790627555
31	0.7677595143054547
32	0.7476911691142643
33	0.7278861392065963
34	0.7083788745451728
35	0.6892006186147592
36	0.6703792340417498
37	0.6519391092162066
38	0.6339011386338633
39	0.6162827682889421
40	0.5990980966085078
41	0.5823580210826058
42	0.566070420844696
43	0.5502403659128206
44	0.534870344527093
45	0.5199605009288039
46	0.5055088769433167
47	0.4915116517863604
48	0.4779633755571769
49	0.4648571928711749
50	0.45218505399046144
51	0.4399379116149733
52	0.4281059021912883
53	0.4166785111791205
54	0.40564472219108144
55	0.3949931502973129
56	0.3847121600732394
57	0.374789969177275
58	0.3652147383874792
59	0.35597464911317467
60	0.34705796943989276
61	0.3384531097731843
62	0.3301486691270523
63	0.3221334730631547
64	0.31439660423337235
65	0.306927426415686
66	0.2997156028654425
67	0.2927511097340157
68	0.2860242452369227
69	0.2795256351853096
70	0.2732462354295989
71	0.267177331702814
72	0.26131053729411
73	0.2556377889306561
74	0.2501513411982384
75	0.24484375978774645
76	0.23970791381588563
77	0.2347369674337931
78	0.22992437090644433
79	0.22526385131852691
80	0.22074940303852802
81	0.2163752780518102
82	0.2121359762551655
83	0.20802623578944618
84	0.20404102347311281
85	0.2001755253876784
86	0.1964251376558436
87	0.19278545744438688
88	0.1892522742164658
89	0.18582156125165517
90	0.18248946744675343
91	0.17925230940589465
92	0.17610656382478396
93	0.17304886017076976
94	0.1700759736579141
95	0.16718481851414138
96	0.16437244153586975
97	0.16163601592418306
98	0.15897283539556334
99	0.15638030855939447
